frame,x1,y1,x2,y2,confidence,class
19,835,570,877,637,0.9264,player
19,334,365,382,417,0.9234,player
19,1313,808,1360,884,0.9225,player
19,1668,463,1711,527,0.9208,player
19,1131,352,1168,412,0.918,player
19,829,150,859,192,0.9176,player
19,1702,326,1745,390,0.9163,player
19,789,247,832,297,0.9146,player
19,291,503,327,567,0.9124,player
19,711,343,749,398,0.9094,player
19,418,200,452,258,0.9049,player
19,984,150,1023,195,0.9044,player
19,968,270,989,328,0.9009,player
19,567,101,592,156,0.9007,player
19,920,203,945,249,0.8947,player
19,1492,231,1521,281,0.8929,player
19,1114,482,1141,543,0.8928,player
19,890,158,917,205,0.8706,player
19,481,73,508,120,0.4232,player
20,333,364,387,418,0.9318,player
20,305,413,342,468,0.9305,player
20,1318,808,1366,883,0.9231,player
20,1700,327,1747,389,0.922,player
20,421,199,456,258,0.9196,player
20,827,569,880,632,0.9162,player
20,743,391,781,447,0.916,player
20,1671,464,1711,527,0.9159,player
20,786,247,826,299,0.9147,player
20,1132,355,1168,413,0.9141,player
20,272,760,315,831,0.9117,player
20,710,344,747,398,0.9089,player
20,291,500,328,565,0.9089,player
20,986,152,1018,198,0.9072,player
20,569,103,593,154,0.9054,player
20,972,271,989,328,0.8925,player
20,827,150,850,193,0.8898,player
20,1493,233,1520,283,0.8888,player
20,890,158,920,205,0.8874,player
20,1113,483,1136,542,0.8766,player
20,920,205,945,250,0.8646,player
21,307,411,346,467,0.9362,player
21,422,199,460,257,0.9238,player
21,823,568,880,631,0.9192,player
21,1701,328,1745,391,0.9191,player
21,268,757,308,830,0.9184,player
21,334,365,387,418,0.9177,player
21,1323,808,1368,883,0.9124,player
21,293,496,334,564,0.9113,player
21,571,105,600,152,0.9091,player
21,889,157,923,205,0.909,player
21,784,249,816,301,0.9075,player
21,974,271,992,329,0.9067,player
21,708,345,742,398,0.9056,player
21,1108,482,1135,544,0.9049,player
21,1674,466,1709,528,0.9046,player
21,748,392,777,447,0.8992,player
21,824,151,855,193,0.8974,player
21,984,152,1011,198,0.8964,player
21,1138,356,1167,413,0.8878,player
21,1493,234,1518,283,0.8876,player
21,919,204,947,250,0.8838,player
21,486,77,517,122,0.5909,player
22,310,413,347,466,0.936,player
22,782,249,816,301,0.9222,player
22,269,753,311,829,0.9222,player
22,424,200,465,255,0.9201,player
22,1107,480,1138,542,0.9188,player
22,823,569,875,632,0.9188,player
22,295,493,340,563,0.9159,player
22,710,344,742,399,0.9138,player
22,1324,807,1369,881,0.912,player
22,334,367,380,419,0.9114,player
22,575,106,604,153,0.9107,player
22,889,159,926,208,0.9106,player
