player_id,frame,view,x1,y1,x2,y2
226,13,tacticam,336,364,386,415
226,11,broadcast,1258,466,1328,560
227,13,tacticam,1132,353,1160,409
228,13,tacticam,1483,226,1510,275
228,14,broadcast,1504,433,1553,518
229,13,tacticam,845,150,879,190
229,11,broadcast,1655,452,1719,532
230,13,tacticam,1707,325,1743,388
230,11,broadcast,1536,719,1625,846
226,13,tacticam,993,146,1028,194
231,13,tacticam,1315,808,1339,885
231,14,broadcast,637,741,694,863
232,13,tacticam,1115,482,1140,543
232,11,broadcast,1561,496,1596,576
233,13,tacticam,716,343,740,398
233,11,broadcast,1561,496,1596,576
234,13,tacticam,887,155,920,203
235,13,tacticam,748,394,770,451
236,13,tacticam,467,68,501,118
231,14,tacticam,943,266,979,327
237,14,tacticam,841,149,866,191
238,14,tacticam,293,510,334,576
238,13,broadcast,1551,494,1622,587
239,14,tacticam,554,94,585,143
239,12,broadcast,1534,717,1635,843
240,14,tacticam,286,777,323,852
240,12,broadcast,632,745,686,878
241,14,tacticam,1485,226,1514,275
241,12,broadcast,1503,430,1552,518
242,14,tacticam,1670,464,1696,525
242,14,broadcast,948,566,987,660
243,14,tacticam,844,573,895,637
243,12,broadcast,1503,430,1552,518
244,14,tacticam,804,244,840,298
244,12,broadcast,1266,469,1336,561
245,14,tacticam,416,200,462,256
245,12,broadcast,1266,469,1336,561
246,14,tacticam,917,198,950,246
246,16,broadcast,1278,473,1336,564
247,14,tacticam,290,423,318,482
247,12,broadcast,937,571,981,671
248,14,tacticam,1112,481,1144,543
248,16,broadcast,870,615,910,719
245,14,tacticam,887,155,922,203
249,14,tacticam,1315,807,1339,886
249,15,broadcast,637,739,690,866
245,14,tacticam,336,364,384,417
250,14,tacticam,1712,326,1738,387
250,14,broadcast,948,566,987,660
251,14,tacticam,1133,352,1155,408
252,14,tacticam,714,343,742,398
252,14,broadcast,1598,555,1664,673
253,14,tacticam,748,394,773,453
245,14,tacticam,993,147,1022,195
254,14,tacticam,469,65,504,117
249,15,tacticam,947,267,982,328
255,15,tacticam,290,507,337,573
255,13,broadcast,1268,471,1339,564
250,15,tacticam,839,148,868,191
250,15,tacticam,293,423,320,482
256,15,tacticam,556,93,589,143
256,13,broadcast,1535,715,1642,841
257,15,tacticam,1671,463,1699,526
257,14,broadcast,948,566,987,660
258,15,tacticam,886,155,924,204
259,15,tacticam,1112,480,1145,542
259,13,broadcast,1551,494,1622,587
246,15,tacticam,916,198,951,246
228,15,tacticam,1486,226,1517,276
255,15,tacticam,416,201,464,256
249,15,tacticam,284,776,319,848
260,15,tacticam,846,574,889,639
260,13,broadcast,1535,715,1642,841
249,15,tacticam,1315,807,1343,887
261,15,tacticam,336,364,377,417
261,17,broadcast,1603,560,1661,664
262,15,tacticam,991,147,1017,195
263,15,tacticam,712,343,745,398
263,13,broadcast,1551,494,1622,587
264,15,tacticam,1133,351,1154,408
264,17,broadcast,1566,494,1602,588
265,15,tacticam,1712,326,1735,387
265,15,broadcast,1511,434,1554,522
266,15,tacticam,745,390,773,454
267,15,tacticam,803,246,829,297
268,15,tacticam,488,10,517,58
269,16,tacticam,280,771,323,847
